title_material,mtype_id,picture,price,storage_quantity,min_quantity,pack_quantity,unit
Гранулы белый 2x2,1,null,47680,76,8,7,л
Нить серый 1x0,2,null,27456,978,42,1,м
Нить белый 1x3,3,null,2191,406,27,8,м
Нить цветной 1x1,2,\materials\image_5.jpeg,8619,424,10,3,г
Нить цветной 2x0,2,null,16856,395,26,2,м
Краска синий 2x2,2,null,403,334,48,6,л
Нить синий 0x2,3,null,7490,654,10,9,м
Гранулы серый 2x2,1,null,15478,648,17,7,л
Краска синий 1x2,2,null,44490,640,50,2,л
Нить зеленый 2x0,2,\materials\image_10.jpeg,28301,535,45,5,м
Гранулы синий 1x2,1,null,9242,680,6,3,кг
Нить синий 3x2,3,null,10878,529,13,1,м
Краска белый 2x2,2,\materials\image_3.jpeg,29906,659,35,1,л
Краска зеленый 0x3,2,null,24073,50,48,2,л
Нить зеленый 2x3,3,null,20057,649,25,7,г
Краска белый 2x1,2,null,3353,790,8,2,л
Нить серый 2x3,3,null,22452,431,40,1,г
Гранулы серый 3x2,1,null,29943,96,9,5,л
Краска серый 3x2,2,null,55064,806,50,3,л
Гранулы белый 0x3,1,null,7183,538,11,3,кг
Краска цветной 1x1,2,null,43466,784,22,3,л
Гранулы белый 1x0,1,null,27718,980,41,3,кг
Краска серый 0x2,2,null,33227,679,36,3,кг
Гранулы серый 3x3,1,null,15170,2,38,5,л
Краска серый 3x0,2,null,19352,341,38,7,кг
Гранулы синий 2x1,1,\materials\image_2.jpeg,231,273,17,9,л
Гранулы синий 0x2,1,null,41646,576,36,9,л
Нить цветной 1x0,3,null,24948,91,38,5,г
Краска зеленый 2x2,2,null,19014,752,36,2,кг
Краска цветной 1x3,2,null,268,730,5,9,кг
Краска серый 2x0,2,null,35256,131,22,2,л
Нить зеленый 2x1,3,null,34556,802,16,6,м
Краска цветной 0x3,2,null,3322,324,9,10,л
Нить белый 2x3,3,null,10823,283,41,3,г
Гранулы синий 3x0,1,null,16665,411,8,1,кг
Гранулы синий 1x3,1,null,5668,41,30,8,л
Нить цветной 2x1,2,null,7615,150,22,3,м
Гранулы серый 3x0,1,\materials\image_7.jpeg,702,0,5,4,л
Краска синий 3x0,2,null,38644,523,42,7,л
Нить зеленый 0x0,2,null,41827,288,43,8,м
Гранулы белый 1x2,1,null,8129,77,46,4,л
Краска белый 3x0,2,null,51471,609,48,5,кг
Краска цветной 0x1,2,null,54401,43,8,6,л
Нить серый 1x1,3,null,14474,372,22,5,м
Краска синий 2x1,2,null,46848,642,29,9,л
Нить серый 3x0,3,null,29503,409,19,1,м
Краска зеленый 3x3,2,null,27710,601,32,6,л
Краска синий 2x0,2,null,40074,135,50,7,л
Гранулы синий 2x3,1,null,53482,749,45,2,л
Нить синий 0x3,2,null,32087,615,22,8,м
Нить синий 3x3,3,null,45774,140,12,7,г
Краска зеленый 2x3,2,null,44978,485,8,2,л
Нить синий 3x0,3,null,44407,67,23,10,м
Гранулы серый 2x1,1,null,50339,779,44,7,кг
Краска зеленый 0x1,2,null,30581,869,7,2,л
Краска синий 0x0,2,null,18656,796,29,8,кг
Краска серый 2x1,2,null,46579,706,45,5,л
Нить белый 0x1,3,null,36883,101,43,10,м
Гранулы зеленый 1x2,1,null,45083,575,15,9,л
Краска серый 0x1,2,null,35063,768,27,2,л
Гранулы цветной 0x1,1,null,24488,746,50,3,л
Гранулы белый 3x1,1,null,43711,995,27,8,л
Нить зеленый 0x2,3,null,17429,578,20,2,м
Гранулы зеленый 0x2,1,null,38217,206,34,4,л
Краска цветной 1x2,2,null,47701,299,50,10,л
Краска зеленый 1x0,2,null,52189,626,17,8,кг
Гранулы серый 0x0,1,null,16715,608,12,5,л
Гранулы синий 0x3,1,null,45134,953,48,5,кг
Краска цветной 2x1,2,null,1846,325,45,1,л
Нить синий 2x3,2,null,43659,10,21,5,м
Нить синий 2x1,2,null,12283,948,13,9,г
Гранулы белый 1x1,1,null,6557,93,11,4,л
Краска синий 1x3,2,null,38230,265,17,6,кг
Краска зеленый 3x0,2,\materials\image_1.jpeg,20226,261,7,2,л
Нить зеленый 1x0,3,null,8105,304,43,9,г
Краска цветной 0x2,2,null,2600,595,38,7,л
Нить синий 3x1,2,null,4920,579,48,7,м
Краска зеленый 0x2,2,null,39809,139,23,9,л
Краска синий 3x3,2,null,46545,740,24,6,кг
Краска зеленый 1x1,2,\materials\image_6.jpeg,40583,103,34,2,кг
Краска цветной 2x3,2,null,46502,443,46,9,л
Нить цветной 3x0,3,null,53651,989,14,1,м
Гранулы серый 2x3,1,null,47757,467,28,6,л
Краска белый 1x0,2,null,3543,95,6,6,л
Гранулы серый 3x1,1,null,10899,762,6,10,кг
Гранулы серый 2x0,1,\materials\image_8.jpeg,8939,312,21,3,кг
Нить белый 0x2,3,null,29271,43,19,4,г
Гранулы зеленый 1x1,1,\materials\image_4.jpeg,46455,10,19,4,л
Нить серый 0x2,2,\materials\image_9.jpeg,45744,504,10,3,м
Гранулы белый 0x2,1,null,9330,581,40,2,л
Нить цветной 3x2,3,null,2939,831,46,3,м
Гранулы белый 3x0,1,null,50217,208,7,6,л
Нить серый 1x2,3,null,30198,292,30,1,м
Краска белый 0x1,2,null,19777,423,47,7,л
Гранулы цветной 0x3,1,null,1209,723,44,7,кг
Нить серый 1x3,2,null,32002,489,25,1,г
Гранулы белый 2x3,1,null,32446,274,8,4,л
Краска зеленый 3x1,2,null,32487,657,19,10,л
Гранулы цветной 3x2,1,null,28596,32,45,1,л
Нить белый 2x0,2,null,46684,623,23,2,м
